,Brand,title,storage,Ram,Front Camera,Battery,Resolutions,OS,Inches,price in EGY
126,Samsung,Galaxy A03,64,4,5,4000,720 x 1600,Android,6.5,5249
127,Samsung,Galaxy A03,64,4,5,4000,720 x 1600,Android,6.5,5249
128,Apple,iPhone 13,128,4,12,3000,1170 x 2532,iOS,6.1,33333
129,Samsung,Galaxy A04,32,3,5,4000,720 x 1600,Android,6.5,4849
130,Samsung,Galaxy A04e,32,3,5,4000,720 x 1600,Android,6.5,4199
131,Nokia,C21 Plus,64,3,5,4000,720 x 1600,Android,6.5,4799
132,Honor,X9A,128,8,16,5000,1080 x 2400,Android,6.67,16499
133,realme,C25Y,64,4,8,4000,720 x 1600 pixels,Android,6.5,4399
134,Infinix,Smart 6,32,2,5,4000,720 x 1600,Android,6.6,3349
135,Samsung,Galaxy A53 5G,128,8,32,4000,1080 x 2400,Android,6.5,16499
136,Oppo,A16K,32,3,5,4000,720 x 1600,Android,6.5,4249
137,Xiaomi,Redmi 10A,128,4,5,4000,720 x 1600,Android,6.53,5999
138,Samsung,Galaxy A04,64,4,5,4000,720 x 1600,Android,6.5,5249
139,Nokia,C10,32,2,5,3000,720 x 1600,Android,6.5,2799
140,Infinix,Smart 6,32,2,5,4000,720 x 1600,Android,6.6,3130
141,Nokia,C21 Plus,64,3,5,4000,720 x 1600,Android,6.5,4799
142,Samsung,Galaxy A34,256,8,13,4000,1080 x 2340,Android,6.6,12199
143,Huawei,Nova 9 SE,128,8,16,3000,1080 x 2388,Android,6.7,13255
144,realme,Narzo 50i,32,2,5,4000,720 x 1600,Android,6.5,3599
145,Samsung,Galaxy A03,32,3,5,4000,720 x 1600,Android,6.5,4699
146,Oppo,Reno 7,256,8,32,4000,1080 x 2400,Android,6.4,12999
147,Samsung,Galaxy A04e,64,3,5,4000,720 x 1600,Android,6.5,4599
148,iKU,A6,32,1,2,1000,720x1600,Android,5.5,2600
149,Samsung,Galaxy A34,256,8,13,4000,1080x2340,Android,6.6,12199
150,Xiaomi,Redmi Note 12 4G,128,8,13,4000,1080 x 2400,Android,6.6,8349
151,realme,C21Y,64,4,5,,,Android,6.5,4099
152,Samsung,Galaxy A53 5G,128,8,32,4000,1080 x 2400,Android,6.5,16499
153,Samsung,Galaxy A53 5G,256,8,32,4000,1080 x 2400,Android,6.5,16099
154,Samsung,Galaxy A03,64,4,5,4000,720 x 1600,Android,6.5,5249
155,Samsung,Galaxy A03,128,4,5,4000,720 x 1600,Android,6.5,5399
156,Honor,x7a,128,4,8,5000,720 x 1600,Android,6.8,7666
157,Apple,iPhone 13,128,4,12,3000,1170 x 2532,iOS,6.1,33333
158,Samsung,Galaxy A14,128,4,13,4000,1080 x 2408,Android,6.6,5899
159,Vivo,Y27,128,6,8,4000,1080 x 2388,Android,6.6,7790
160,Samsung,Galaxy A24,128,8,13,4000,1080 x 2340,Android,6.5,8699
