Brand,title,storage,Ram,Front Camera,Battery,Resolutions,OS,Inches,price in EGY
Infinix,Hot 20i,64,4,8,4000,720 x 1612,Android,6.6,4099
Benco,P11,2,,Unidentified,2000,128 x 160,,,650
Benco,Y11,32,1,Unidentified,2000,,Android,,1899
Samsung,Galaxy A73,256,8,32,4000,1080 x 2400,Android,6.7,21874
Samsung,Galaxy A73,128,8,32,4000,1080 x 2400,Android,6.7,18000
Samsung,Galaxy S23 Plus,256,8,12,4000,1080 x 2340,Android,6.6,50000
Apple,iPhone 14 Plus,256,6,12,4000,1284 x 2778,iOS,6.7,41000
Apple,iPhone 14 Plus,256,6,12,4000,1284 x 2778,iOS,6.7,42000
Apple,iPhone 14 Plus,128,6,12,4000,1284 x 2778,iOS,6.7,39500
Apple,iPhone 14 Plus,128,6,12,4000,1284 x 2778,iOS,6.7,39999
LAVA,Iris 46,32,1,5,2000,854 x 480 ,Pie,5,1870
Apple,iPhone 14,128,4GB,12,3000,1170 x 2532,iOS,6.1,37000
Xiaomi,Poco C40,32,3,5,5000,720 x 1650,Android,6.7,5299
Xiaomi,Poco C40,32,3GB,5,5000,720 x 1650,Android,6.7,4399
Samsung,Galaxy S22 Ultra,512,12,40,4000,1440 x 3088 pixels,Android,6.8,44999
Samsung,Galaxy S22 Ultra,512,12,40,4000,1440 x 3088 pixels,Android,6.8,39500
realme,9i,128,4,16,4000,1080 x 2412,Android,6.6,6599
Nokia,5310,Less,Less,Not,1000,240x320,,2.4,1150
Samsung,B310E,512,,Not,Below,128 x 160,Proprietary,2,698
realme,9i,128,6,16,4000,1080 x 2412 pixels,Android,6.6,7250
realme,10,256,8,16,4000,1080 x 2400,Android,6.4,8099
Xiaomi,Redmi 10A,128,6,5,4000,720 x 1600,Android,6.5,5999
Benco,E11,32,1,Unidentified,1000,128 x 160,,1.8,510
iTel,P38,32,2,3,4000,128x160,Marshmallow,6.5,3099
Xiaomi,Redmi A1 Plus,32,2,5,4000,720 x 1600,Android,6.52,3399
Vivo,Y35,128,8,16,4000,1080 x 2408,Android,6.6,8400
Oppo,A74,128,6,16,4000,2400×1080,Android,6.43,9999
Apple,iPhone 11,64,4,12,3000,828 x 1792,iOS,6.1,23500
Oppo,Reno 8 T,128,8,32,4000,1080 x 2400,Android,6.4,10099
realme,C11 2021,32,2,5,4000,720 x 1600,Android,6.5,3499
Nokia,Nokia Mini,512,32MB,Unidentified,Below,240 x 320,Android,0.66,599
Nokia,Nokia 106,Less,Less,Unidentified,Below,120 x 160 pixels,,1.8,550
Oppo,Reno 8 T,256,8,32,4000,1080 x 2400,Android,6.43,10999
Xiaomi,Redmi Note 12 Pro Plus,256,8,16,4000,1080 x 2400 ,Android,6.7,15700
Samsung,Galaxy A73,128,8,32,4000,1080 x 2400,Android,6.7,20625
Infinix,Hot 20,128,6,8,4000,720 x 1640,Android,6.8,5919
Infinix,Hot 20,128,6,8,4000,720 x 1640,Android,6.8,5999
Infinix,Hot 20,128,6,8,4000,720 x 1640,Android,6.8,5919
Xiaomi,Redmi Note 12 Pro,256,12,16,4000,1080 x 2400,Android,6.6,17000
Xiaomi,Redmi Note 12 Pro,256,12,16,4000,1080 x 2400,Android,6.6,17000
Xiaomi,Redmi Note 12 Pro,256,12,16,4000,1080 x 2400,Android,6.6,17000
iTel,P38,32,2,5,4000,720x1612,Android,6.6,3099
Nokia,Nokia C1,16,1,5,2000,480 x 960 pixels,Android,5.5,2259
Xiaomi,Poco X5 Pro,256,8,16,4000,1080 x 2400,Android,6.6,11899
Xiaomi,Poco X5 Pro,256,8,16,4000,1080 x 2400,Android,6.6,14999
Huawei,Nova Y61,64,4,5,4000,720X1600,EMUI,6.5,6169
Huawei,Nova Y61,64,4,5,4000,720X1600,EMUI,6.5,6169
Apple,iPhone 14 Pro Max,256,6,12,4000,1290 x 2796,iOS,6.7,62999
Nokia,C21 Plus,64,4,5,4000,720 x 1600,Android,6.5,4190
Xiaomi,Redmi 12C,128,4,5,4000,1650 × 720,Android,6.71,5250
Samsung,Galaxy A54 5G,128,8,32,4000,1080 x 2340,Android,6.4,17999
Apple,iPhone 14 Pro,128,6,12,3000,1179 x 2556,iOS,6.1,45997
iKU,S3,32,32,,1000,,Android,1.8,515
iKU,S3,32,32,Unidentified,1000,,Android,1.8,515
iKU,S3,32,32,Unidentified,1000,,Android,1.8,515
iKU,F102,32,32,Unidentified,1000,,Android,1.8,450
iKU,F102,32,32,Unidentified,1000,,Android,1.8,450
iKU,S5,32,32,Unidentified,1000,,Android,2.4,630
iKU,S5,32,32,,1000,,Android,2.4,630
iKU,S5,32,32,,1000,,Android,2.4,630
iKU,S5,32,32,Unidentified,1000,,Android,2.4,630
iKU,S3,32,32,Unidentified,1000,,Android,1.8,515
iKU,S3 Mini,32,32,Unidentified,1000,,Android,1.8,490
iKU,S3 Mini,32,32,Unidentified,1000,,Android,1.8,490
iKU,S3 Mini,32,32,Unidentified,1000,,Android,1.8,490
iKU,X5,64,4,5,5000,1600×720,Android,6.9,3599
iKU,X5,32,3,5,5000,1600×720,Android,6.9,3300
iKU,X5,64,4,5,5000,1600×720,Android,6.9,3599
iKU,X5,32,3,5,5000,1600×720,Android,6.9,3300
iKU,X5,64,4,5,5000,1600×720,Android,6.9,3599
iKU,X5,32,3,5,5000,1600×720,Android,6.9,3300
iKU,A10s,32,2,5,3000,,Android,6.6,2799
iKU,A10s,32,2,5,3000,,Android,6.6,2799
iKU,A23,32,2,13,3000,,Android,6.1,2299
iKU,A23,32,2,13,3000,,Android,6.1,2299
iKU,A23,32,2,13,3000,,Android,6.1,2299
iKU,A23,32,2,13,3000,,Android,6.1,2299
iKU,A22,32,2,5,3000,,Android,6.2,2249
iKU,T8,16,2,2,3000,,Android,8,2599
iKU,A22,32,2,5,3000,,Android,6.2,2249
iKU,A22,32,2,5,3000,,Android,6.2,2249
iKU,A22,32,2,5,3000,,Android,6.2,2222
Samsung,A34,128,8,13,4000,1080 x 2340,Android,6.6,11699
Samsung,A34,128,8,13,4000,1080 x 2340,Android,6.6,11699
Samsung,A54,256,8,32,4000,1080 x 2340,Android,6.4,17999
Samsung,A54,256,8,32,4000,1080 x 2340,Android,6.4,17000
Benco,E20,32,Less,Unidentified,1000,,,2.4,499
LAVA,E10,32,32,Not,1000,,,1.77,449
Oppo,A96,256,8,16,4000,1080 x 2412,Android,6.5,9800
Oppo,A17K,64,3,5,4000,,Android,6.52,5150
Oppo,A17K,64,3,5,4000,,Android,6.52,5150
Ace,Urban 3,32,2,5,2000,,Android,6.5,3075
iTel,S18 S663L,64,4,8,4000,720x1600,Itel,6.6,3099
iTel,S18 S663L,64,4,8,4000,720x1600,Itel,6.6,3099
iTel,S18 S663L,64,4,8,4000,720x1600,Itel,6.6,3099
Oppo,Reno 7,256,8,32,4000,1080 x 2400,Android,6.4,11999
Samsung,Galaxy A54,128,8,32,4000,1080 x 2340,Android,6.4,14999
Samsung,A04s,32,3,5,4000,720 x 1600,Android,6.5,4021
realme,C55,256,8,8,4000,1080 x 2400,Android,6.7,8150
Vivo,Y02,32,2,5,4000,720 x 1600,Android,6.5,3640
Vivo,Y02,32,2,5,4000,720 x 1600,Android,6.5,3640
Samsung,Galaxy A54,256,8,32,4000,1080 x 2340,Android,6.4,15000
Samsung,Galaxy A54,256,8,32,4000,1080 x 2340,Android,6.4,17399
Samsung,Galaxy A54,128,8,32,4000,1080 x 2340,Android,6.4,17600
Samsung,Galaxy A54,128,8,32,4000,1080 x 2340,Android,6.4,17600
Xiaomi,Redmi Note 12 Pro Plus,256,8,16,4000,1080x2400,Android,6.6,15700
Xiaomi,Redmi Note 12 4G,128,8,13,4000,1080 x 2400,Android,6.6,7999
