Brand,title,storage,Ram,Front Camera,Battery,Resolutions,OS,Inches,price in EGY
Xiaomi,Redmi Note 12 Pro Plus,256,8,16,4000,1080x2400,Android,6.6,17999
Apple,iPhone 14 Pro Max,256,6,12,4000,1290 x 2796,iOS,6.7,54999
Samsung,Galaxy A04s,128,4,5,4000,720 × 1600,Android,6.5,5899
Nokia,C10,32,2,5,3000,720 x 1600,Android,6.5,2799
Honor,X8A,128,8,16,4000,1080 x 2388,Android,6.7,11499
Vivo,Y36,128,8,16,4000,1080 x 2388,Android,6.6,8790
realme,C55,256,8,8,4000,1080 x 2400,Android,6.7,7999
Nokia,Nokia 130,Less,Less,Unidentified,,128 x 160 pixels,,1.8,1019
Samsung,Galaxy A03,32,3,5,4000,720 x 1600,Android,6.5,4699
Samsung,Galaxy A04e,64,3,5,4000,720 x 1600,Android,6.5,4599
Nokia,G21,128,4,8,5000,720 x 1600,Android,6.5,5649
Oppo,A77,128,4,8,4000,1612 x 720,,6.5,6666
Huawei,nova 11i,128,8,16,4000,1080 x 2388,EMUI,6.8,12499
Oppo,Reno 8T,256,8,32,4000,2412x1080,Android,6.7,13699
Oppo,A78,128,8,8,4000,2400×1080,Android,6.4,8565
Xiaomi,Redmi 10A,64,3,5,4000,720 × 1600,Android,6.5,4599
Huawei,Nova Y61,64,4,5,4000,720 x 1600,EMUI,6.5,5653
Samsung,Galaxy A54,128,8,32,4000,1080 x 2340,Android,6.4,17499
Samsung,Galaxy A14,128,4,13,4000,1080 x 2408,Android,6.6,5899
Huawei,Nova Y90,128,8,8,5000,1080 x 2388,EMUI,6.7,8519
Vivo,V27,256,8,50,4000,1080 x 2400,Android,6.9,18990
realme,C33,64,4,5,4000,720 x 1600,Android,6.5,5050
Samsung,A24,128,4,13,4000,1080 x 2340,Android,6.5,7099
Honor,X8A,128,8,16,4000,1080 x 2388,Android,6.7,11499
Oppo,Reno 8T,256,8,32,4000,1080 x 2412 ,Android,6.7,14684
realme,Narzo 50i,32,2,5,4000,720 x 1600,Android,6.5,3599
Samsung,Galaxy A03,64,4,5,4000,720 x 1600,Android,6.5,5249
Samsung,Galaxy A03,64,4,5,4000,720 x 1600,Android,6.5,5249
Apple,iPhone 13,128,4,12,3000,1170 x 2532,iOS,6.1,33333
Samsung,Galaxy A04,32,3,5,4000,720 x 1600,Android,6.5,4849
Samsung,Galaxy A04e,32,3,5,4000,720 x 1600,Android,6.5,4199
Nokia,C21 Plus,64,3,5,4000,720 x 1600,Android,6.5,4799
Honor,X9A,128,8,16,5000,1080 x 2400,Android,6.67,16499
