storage,Ram,Front Camera,Battery,Inches,price in EGY,Ace,Apple,Benco,Blackview,Darago,Google,HTC,Honor,Huawei,Infinix,LAVA,Lenovo,Mtouch,Nokia,Oppo,Samsung,Tecno,Unitronics,Vivo,Xiaomi,Xtouch,iKU,iTel,realme,Android,EMUI,HarmonyOS,Itel,Lollipop,Marshmallow,Nougat,Pie,Proprietary,iOS,Screen width,Screen height
128,8,8,5000,6.7,8519,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1080,2388
128,8,13,4000,6.6,10949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1080,2340
256,6,12,4000,6.7,55499,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1290,2796
256,8,8,4000,6.7,8095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2460,1080
128,8,32,5000,6.7,11999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1080,2400
32,3,8,4000,6.5,4699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,720,1600
32,2,5,4000,6.6,3549,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,720,1600
128,8,32,4000,6.5,14373,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1080,2400
256,8,32,4000,6.5,17999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1080,2400
64,4,8,5000,6.5,4949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,720,1600
64,4,5,4000,6.7,5253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,720,1650
128,8,32,4000,6.7,17599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1080,2400
128,8,32,4000,6.7,18500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1080,2400
256,8,32,4000,6.7,21999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1080,2400
32,2,5,4000,6.5,3415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,720,1600
32,2,5,4000,6.5,3449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,720,1600
64,3,5,4000,6.5,4650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,720,1600
